collected_at,start_date_raw,start_time,end_date_raw,team,event_name,venue,venue_address,event_type,format,highlights,note,url,welcome_match,member_type
5/17,2026/6/20,10:00,,体育会 水泳部（水球）,関東学生リーグ　2026 対中央,日本体育大学健志台キャンパス,神奈川県横浜市青葉区鴨志田町1221-1,,,,,https://www.instagram.com/p/DYV-uVogROQ/?igsh=MzR2dWxrMnN2YTVv,,
6/1,2026/6/20,14:45,,体育会 応援団,第73回六旗の下に,府中の森芸術劇場,東京都府中市浅間町1-2,,,,,http://rokudai-ouen.com/%E7%AC%AC%E4%B8%83%E5%8D%81%E4%BA%8C%E5%9B%9E%E5%85%AD%E6%97%97%E3%81%AE%E4%B8%8B%E3%81%AB,,
1/22,06/20,,06/21,体育会 馬術部,関東学生馬術三大大会（馬場・障害）,馬事公苑,東京都世田谷区上用賀2-1-1,,,,,https://kantougakusei.wixsite.com/website,,
5/12,2026/6/20,,06/21,体育会 自動車部,全関東学生ダートトライアル選手権大会,モーターランド野沢,長野県下高井郡野沢温泉村七ケ巻735−ロ,,,,,https://www.ajsaa-kantou.org/blank-2,,
6/15,2026/06/20,,06/21,体育会 弓道部,第56回全関東学生弓道選手権大会,日本武道館,東京都千代田区北の丸公園2-3,,,,,https://togaku-kyudo.com/modules/%E7%AC%AC55%E5%9B%9E%E5%85%A8%E9%96%A2%E9%96%A2%E9%80%A3%E3%83%9A%E3%83%BC%E3%82%B8,,
6/7,2026/6/20,,,体育会 ラグビー部,北島祭　〜13::00,明治大学八幡山グラウンド,東京都世田谷区八幡山2-18-10,,,,,https://www.meijirugby.jp/news/detail927/,,
6/20,2026/6/21,12:30,,体育会 ラクロス部（男子）,Bリーグ（準リーグ）第１戦　対立教,立教大学新座キャンパス,埼玉県新座市北野1−2−26,,,,,https://www.instagram.com/p/DZzpAqCB3hk/?igsh=MTR2cG8zOXg0enU4cg==,,
,6/21,14:00,,交響楽団（明オケ）,2026年6月演奏会,大田区民ホール・アプリコ,東京都大田区蒲田5-33,,,,,https://www.instagram.com/p/DWJD1DDkV5V/?img_index=1,,
,2026/6/21,17:00,,体育会 アメリカンフットボール部,対立教,アミノバイタルフィールド,東京都調布市西町376-3,,,,,https://www.meiji-griffins.net/schedule/,,
5/31,6/27,,06/28,体育会 柔道部,2026年度 全日本学生柔道優勝大会（男子75回,日本武道館,東京都千代田区北の丸公園2-3,,,,,http://www.gakujuren.or.jp/101.html,,
5/17,2026/6/28,13:00,,体育会 ラグビー部,2026 SPRING SEASON 対筑波,筑波大学第一サッカー場,茨城県つくば市天久保3-1,,,,,https://www.instagram.com/p/DWDvyeRCe5S/?igsh=b3I0NjFpNTF2Y2Zx,,
1/22,07/03,,07/05,体育会 馬術部,関東学生馬術三大大会（総合）（出場未定）,山梨県馬術競技場,山梨県北杜市小淵沢町10060-3,,,,,https://kantougakusei.wixsite.com/website,,
6/14,7/3,,07/05,体育会 馬術部,関東学生馬術三大大会（総合）,山梨県馬術競技場,山梨県北杜市小淵沢町10060-3,,,,,https://764aeffb-eb6c-46a8-9146-8280363c5cca.filesusr.com/ugd/3f8bc3_29366080caf9451caa31df4ff42b3122.pdf,,
6/4,2026/7/4,15:00,,体育会 スケート部（アイスホッケー ）,第41回明立戦アイスホッケー定期戦,ダイドードリンコアイスアリーナ,東京都西東京市東伏見3-1-25,,,,,https://www.instagram.com/p/DYdtyDkyhaB/,,
6/20,2026/7/4,,07/05,体育会 弓道部,第38回全国大学弓道選抜大会,全日本弓道連盟中央道場,東京都渋谷区代々木神園町1−1,,,,,https://www.instagram.com/p/DZwM6w8nywJ/?igsh=MTB0NXFjZGc0eWNseA==,,
6/26,2026/7/4,,07/05,体育会 自転車部,第66回全日本学生選手権トラック自転車競技大会,宮城県・大和町自転車競技場,宮城県黒川郡大和町宮床字松倉92,,,,,https://jicf.info/30019/,,
６/14,2026/7/5,,,体育会 ウエイトリフティング部,東日本大学対抗選手権大会,上尾市総合スポーツセンター,埼玉県上尾市東町3丁目1679,,,,,https://www.wlgakuren.com/%E8%A4%87%E8%A3%BD-2025%E5%A4%A7%E4%BC%9A%E7%B5%90%E6%9E%9C,,
6/4,2026/7/7,,07/12,体育会 バスケットボール部（男子）,第4回全日本バスケットボール新人戦大会,松山市総合コミュニケーションセンター,愛媛県松山市湊町七丁目5番地,,,,,https://jubf.jp/news/detail/id/473,,
6/10,2026/7/11,18:00,,体育会 応援団,第50回合同演奏会,府中の森芸術劇場,東京都府中市浅間町1-2,,,,,https://www.instagram.com/p/DZY8RI9E-1Y/?igsh=MTY5Mm90em00bHZscQ==,,
6/26,2026/7/12,17:00,,体育会 ラクロス部（女子）,第38回関東学生ラクロスリーグ戦　女子,学習院大学北グラウンド,東京都豊島区目白1丁目5−1,,,,,https://www.lacrosse.gr.jp/event/2026-collegiate-leagues/#anc03,,
