alias,canonical
明大八幡山グラウンド,明治大学八幡山グラウンド
駒沢屋内球技場,駒沢オリンピック公園総合運動場 屋内球技場
駒沢オリンピック公園第一球技場,駒沢オリンピック公園総合運動場第一球技場
駒沢オリンピック公園第二球技場,駒沢オリンピック公園総合運動場第二球技場
中大多摩キャンパス,中央大学多摩キャンパスサッカー場
Asueアリーナ大阪,Asueアリーナ大阪（大阪市中央体育館）
日大アスレチックパーク稲城,日本大学アスレティックパーク稲城 サッカーフィールド
横浜武道館,横浜武道館2F アリーナ（メインアリーナ）
能勢ライフル射撃場,能勢町ライフル射撃場
神戸グリーンアリーナ,グリーンアリーナ神戸
明治神宮野球場,神宮球場
