start_date_raw,start_time,end_date_raw,team,event_name,venue,venue_address,url,source
2026/09/06,,,水泳部（競泳）,第102回日本学生選手権（４日目）,東和薬品ＲＡＣＴＡＢドーム,大阪府門真市三ツ島3丁目7−16,https://meisupo.net/result/48950/,meisupo.net
2026/09/06,,,競走部,第95回日本学生陸上競技対校選手権,日産スタジアム,神奈川県横浜市港北区小机町3300,https://meisupo.net/result/49235/,meisupo.net
2026/09/06,,,ソフトテニス部,全日本大学対抗選手権大会,,,https://meisupo.net/result/51449/,meisupo.net
2026/09/06,,,自転車部,第81回全日本大学対抗選手権大会（ロード）,群馬サイクルスポーツセンター,,https://meisupo.net/result/51652/,meisupo.net
2026/09/06,,,柔道部,東京学生体重別選手権,日本武道館,東京都千代田区北の丸公園2-3,https://meisupo.net/result/51688/,meisupo.net
2026/09/06,,,競走部,【競走部】第95回日本学生陸上競技対校選手権大会,日産スタジアム,神奈川県横浜市港北区小机町3300,https://meisupo.net/result/51725/,meisupo.net
2026/09/05,,,水泳部（競泳）,第102回日本学生選手権（３日目）,東和薬品ＲＡＣＴＡＢドーム,大阪府門真市三ツ島3丁目7−16,https://meisupo.net/result/48948/,meisupo.net
2026/09/05,,,競走部,第95回日本学生陸上競技対校選手権,日産スタジアム,神奈川県横浜市港北区小机町3300,https://meisupo.net/result/49231/,meisupo.net
2026/09/05,,,ソフトテニス部,全日本大学対抗選手権大会,,,https://meisupo.net/result/51447/,meisupo.net
2026/09/05,,,自転車部,第81回全日本大学対抗選手権大会（ロード）,群馬サイクルスポーツセンター,,https://meisupo.net/result/51650/,meisupo.net
2026/09/05,,,競走部,【競走部】第95回日本学生陸上競技対校選手権大会,日産スタジアム,神奈川県横浜市港北区小机町3300,https://meisupo.net/result/51723/,meisupo.net
2026/09/04,,,水泳部（競泳）,第102回日本学生選手権（２日目）,東和薬品ＲＡＣＴＡＢドーム,大阪府門真市三ツ島3丁目7−16,https://meisupo.net/result/48946/,meisupo.net
